"CORP","Quarterly Data","Current Ratio","Long-term Debt / Capital","Debt/Equity Ratio","Gross Margin","Operating Margin","EBIT Margin","EBITDA Margin","Pre-Tax Profit Margin","Net Profit Margin","Asset Turnover","Inventory Turnover Ratio","Receiveable Turnover","Days Sales In Receivables","ROE - Return On Equity","Return On Tangible Equity","ROA - Return On Assets","ROI - Return On Investment","Book Value Per Share","Operating Cash Flow Per Share","Free Cash Flow Per Share","Basic EPS","SH LOG10","Bin"
"TSM","6/30/2011","1.1803","0","0.0662","46.0172","34.2648","34.2648","0","35.3356","32.5411","0.1405","1.8859","2.3857","37.7253","6.3069","6.6404","4.5733","6.3069","0","0.4198","-0.0118","0.24","0.015067798276225","0"
"TSM","9/30/2011","1.8173","0.0291","0.0974","42.029","29.6691","29.6691","0","30.1887","28.548","0.1521","2.5208","2.4577","36.6202","5.3065","5.5683","4.342","5.1522","0","0.3666","0.113","0.2","-0.0426688561778","0"
"TSM","12/31/2011","1.9252","0.0277","0.0767","44.6532","31.3873","31.3873","0","32.0809","30.1445","0.1354","2.3354","2.5592","35.1676","4.9983","5.1971","4.0801","4.86","0","0.4581","0.2838","0.2","0.052880011871139","0"
"TSM","3/31/2012","1.635","0.0503","0.1054","46.5574","33.5885","33.5885","0","34.2469","32.0871","0.127","2.1798","3.0428","29.5779","5.0647","5.1126","4.0766","4.81","4.3092","0.3846","0.0563","0.23","0.073197111973251","0"
"TSM","6/30/2012","0.9983","0.0528","0.1048","48.613","36.4771","36.4771","0","35.853","32.6399","0.1461","2.3066","3.2613","27.5966","6.6334","6.6983","4.7658","6.283","4.1031","0.4096","0.0528","0.27","-0.039237935952529","0"
"TSM","9/30/2012","1.4817","0.1008","0.1562","48.8279","37.2545","37.2545","0","38.0148","34.8891","0.1625","2.3479","3.1861","28.2481","7.3151","7.3843","5.6714","6.5778","4.3587","0.4704","-0.0316","0.32","0.054321060874515","0"
"TSM","12/31/2012","1.7712","0.1016","0.1611","48.1244","35.2616","35.2616","0","34.9492","31.5011","0.1472","1.9276","260.1501","0.346","6.0744","6.1676","4.6161","5.4571","4.8184","0.6543","0.2085","0.28","0.035310804351029","0"
"TSM","3/31/2013","1.882","0.1419","0.2121","45.7747","33.4653","33.4653","0","34.4595","29.8112","0.1251","1.9028","217.4217","0.4139","5.1435","5.2215","3.724","4.4137","5.0545","0.4849","-0.0451","0.26","0.00075861843873279","0"
"TSM","6/30/2013","1.4467","0.186","0.2707","49.0232","36.9679","36.9679","0","38.4995","33.2336","0.1333","2.0579","51.4327","1.7499","6.9363","7.0415","4.4245","5.6459","4.8208","0.4773","-0.0189","0.34","0.027649567380412","0"
"TSM","9/30/2013","2.2808","0.208","0.2851","48.5401","36.6819","36.6819","0","36.5169","31.9651","0.138","2.2656","159.0461","0.5659","6.4581","6.551","4.4104","5.1148","5.1951","0.6151","0.2643","0.34","-0.033499647018123","0"
"TSM","12/31/2013","1.7575","0.2023","0.2724","44.7532","33.1868","33.1868","0","34.8777","27.845","0.1138","2.1182","280.2014","0.3212","4.7965","4.8635","3.1682","3.826","5.3922","0.6683","0.1873","0.26","0.012120683185046","0"
"TSM","3/31/2014","2.0407","0.1914","0.2644","47.4918","35.4315","35.4315","0","35.9574","32.2936","0.1141","1.7901","205.4801","0.438","5.328","5.4009","3.684","4.308","5.7144","0.6049","-0.1275","0.31","0.059917567644546","0"
"TSM","6/30/2014","1.8619","0.1944","0.2809","49.8278","38.6381","38.6381","0","40.4872","32.6213","0.1361","1.8021","54.8187","1.6418","6.803","6.8929","4.4355","5.4803","5.6143","0.5245","0.0539","0.38","0.028746691124605","0"
"TSM","9/30/2014","2.7648","0.1818","0.2598","50.5047","40.3891","40.3891","0","40.8432","36.5159","0.1548","1.5836","300.9037","0.2991","7.977","8.0778","5.6522","6.5264","6.1423","0.5883","0.2782","0.49","-0.025289602367013","0"
"TSM","12/31/2014","2.7874","0.1734","0.2452","49.6952","39.775","39.775","0","40.2035","31.2937","0.1313","1.4883","398.1488","0.226","6.0063","6.0869","4.1078","4.9646","6.2386","0.8545","0.6081","0.37","0.044938900885966","0"
